drugbank_id,id
DB03523,4093
DB08387,4098
DB18715,4100
DB16869,4101
DB13006,4106
DB12877,4112
DB09142,4114
DB12184,4115
DB12863,4117
DB16274,4119
DB14070,4120
DB11636,4122
DB13981,4123
DB11838,4125
DB09099,4127
DB06133,4128
DB04882,4133
DB05885,4139
DB11863,4140
DB15447,4143
DB16236,4144
DB09236,4148
DB15232,4150
DB12199,4156
DB01109,4158
DB16056,4162
DB18007,4164
DB11869,4167
DB09310,4169
DB16875,4170
DB16157,4174
DB06694,4179
DB15688,4180
DB12057,4181
DB14921,4189
DB02638,4196
DB00066,4204
DB00642,4205
DB13999,4219
DB16826,4223
DB01268,4232
DB01227,4250
DB06589,4251
DB01161,4252
DB06199,4253
DB00264,4254
DB06701,4255
DB00454,4256
DB00940,4257
DB12128,4258
DB00289,4259
